symbol,name,trade_date,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pct,pnl_gross,commission_entry,commission_exit,slippage_entry,slippage_exit,pnl_net,position_size,notional,gap_pct,atr_at_entry,confidence
RB,螺纹钢,2009-11-05,short,2009-11-05,4003.0,2009-11-05 00:45:00,4015.0,exit,-0.0029977516862353237,-2040.0,68.05,68.26,170.0,170.0,-2516.31,17,680510.0,0.02931344818719465,84.6429,0.6671
RB,螺纹钢,2010-10-20,long,2010-10-20,4410.0,2010-10-20 00:45:00,4421.0,exit,0.002494331065759637,1870.0,74.97,75.16,170.0,170.0,1379.87,17,749700.0,-0.017598574292715528,84.4286,0.6433
RB,螺纹钢,2010-11-03,short,2010-11-03,4565.0,2010-11-03 00:45:00,4551.0,exit,0.0030668127053669223,3360.0,109.56,109.22,240.0,240.0,2661.22,24,1095600.0,0.004842615012106538,61.9286,0.6409
RB,螺纹钢,2010-12-09,short,2010-12-09,4735.0,2010-12-09 00:45:00,4715.0,exit,0.004223864836325237,5200.0,123.11,122.59,260.0,260.0,4434.3,26,1231100.0,0.004881154499151104,55.9286,0.6491
RB,螺纹钢,2011-05-06,long,2011-05-06,4850.0,2011-05-06 00:45:00,4804.0,exit,-0.009484536082474227,-11960.0,126.1,124.9,260.0,260.0,-12731.0,26,1261000.0,-0.012823122328516182,57.6429,0.7113
RB,螺纹钢,2011-05-13,short,2011-05-13,4803.0,2011-05-13 00:45:00,4850.0,exit,-0.009785550697480742,-12690.0,129.68,130.95,270.0,270.0,-13490.63,27,1296810.0,0.00439146800501882,54.2143,0.669
RB,螺纹钢,2011-12-15,long,2011-12-15,4104.0,2011-12-15 00:45:00,4124.0,exit,0.004873294346978557,6000.0,123.12,123.72,300.0,300.0,5153.16,30,1231200.0,-0.011798699735131231,48.6429,0.675
RB,螺纹钢,2012-01-04,short,2012-01-04,4235.0,2012-01-04 00:45:00,4159.0,exit,0.0179456906729634,29640.0,165.17,162.2,390.0,390.0,28532.63,39,1651650.0,0.0059382422802850355,37.0714,0.6919
RB,螺纹钢,2012-03-14,short,2012-03-14,4359.0,2012-03-14 00:45:00,4325.0,exit,0.0077999541179169535,14620.0,187.44,185.98,430.0,430.0,13386.59,43,1874370.0,0.00414651002073255,35.0714,0.6467
RB,螺纹钢,2012-04-11,long,2012-04-11,4361.0,2012-04-11 00:45:00,4377.0,exit,0.0036688832836505388,8800.0,239.86,240.74,550.0,550.0,7219.41,55,2398550.0,-0.005246350364963503,27.6429,0.6512
RB,螺纹钢,2013-03-29,long,2013-03-29,3788.0,2013-03-29 00:45:00,3810.0,exit,0.005807814149947202,4620.0,79.55,80.01,210.0,210.0,4040.44,21,795480.0,-0.009414225941422594,70.9286,0.6717
RB,螺纹钢,2013-04-15,long,2013-04-15,3800.0,2013-04-15 00:45:00,3738.0,exit,-0.01631578947368421,-14260.0,87.4,85.97,230.0,230.0,-14893.37,23,874000.0,-0.009900990099009901,67.4286,0.6796
RB,螺纹钢,2013-04-16,long,2013-04-16,3680.0,2013-04-16 00:45:00,3750.0,exit,0.019021739130434784,14700.0,77.28,78.75,210.0,210.0,14123.97,21,772800.0,-0.015516318887105404,71.0,0.7444
RB,螺纹钢,2013-04-18,long,2013-04-18,3621.0,2013-04-18 00:45:00,3651.0,exit,0.008285004142502071,6000.0,72.42,73.02,200.0,200.0,5454.56,20,724200.0,-0.021086780210867802,76.7857,0.6846
RB,螺纹钢,2015-02-26,long,2015-02-26,2486.0,2015-02-26 00:45:00,2505.0,exit,0.007642799678197908,9690.0,126.79,127.76,510.0,510.0,8415.46,51,1267860.0,-0.01932938856015779,30.5714,0.703
RB,螺纹钢,2015-03-09,short,2015-03-09,2478.0,2015-03-09 00:45:00,2486.0,exit,-0.003228410008071025,-3440.0,106.55,106.9,430.0,430.0,-4513.45,43,1065540.0,0.02481389578163772,36.1429,0.7323
RB,螺纹钢,2015-08-26,short,2015-08-26,1961.0,2015-08-26 00:45:00,1937.0,exit,0.01223865374808771,10800.0,88.24,87.16,450.0,450.0,9724.59,45,882450.0,0.014485256078634247,34.8571,0.6663
RB,螺纹钢,2017-12-18,short,2017-12-18,3839.0,2017-12-18 00:45:00,3874.0,exit,-0.009116957541026309,-4900.0,53.75,54.24,140.0,140.0,-5287.98,14,537460.0,0.003922594142259414,108.6429,0.6468
