symbol,name,trade_date,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pct,pnl_gross,commission_entry,commission_exit,slippage_entry,slippage_exit,pnl_net,position_size,notional,gap_pct,atr_at_entry,confidence
RB,螺纹钢,2011-05-06,long,2011-05-06,4850.0,2011-05-06 00:45:00,4804.0,exit,-0.009484536082474227,-19780.0,208.55,206.57,430.0,430.0,-21055.12,43,2085500.0,-0.012823122328516182,57.6429,0.7113
RB,螺纹钢,2012-01-04,short,2012-01-04,4235.0,2012-01-04 00:45:00,4159.0,exit,0.0179456906729634,50920.0,283.74,278.65,670.0,670.0,49017.6,67,2837450.0,0.0059382422802850355,37.0714,0.6919
RB,螺纹钢,2013-04-16,long,2013-04-16,3680.0,2013-04-16 00:45:00,3750.0,exit,0.019021739130434784,24500.0,128.8,131.25,350.0,350.0,23539.95,35,1288000.0,-0.015516318887105404,71.0,0.7444
RB,螺纹钢,2013-04-18,long,2013-04-18,3621.0,2013-04-18 00:45:00,3651.0,exit,0.008285004142502071,9600.0,115.87,116.83,320.0,320.0,8727.3,32,1158720.0,-0.021086780210867802,76.7857,0.6846
RB,螺纹钢,2015-02-26,long,2015-02-26,2486.0,2015-02-26 00:45:00,2505.0,exit,0.007642799678197908,15390.0,201.37,202.9,810.0,810.0,13365.73,81,2013660.0,-0.01932938856015779,30.5714,0.703
RB,螺纹钢,2015-03-09,short,2015-03-09,2478.0,2015-03-09 00:45:00,2486.0,exit,-0.003228410008071025,-5520.0,170.98,171.53,690.0,690.0,-7242.52,69,1709820.0,0.02481389578163772,36.1429,0.7323
RB,螺纹钢,2020-03-09,long,2020-03-09,3350.0,2020-03-09 00:45:00,3439.0,exit,0.02656716417910448,35600.0,134.0,137.56,400.0,400.0,34528.44,40,1340000.0,-0.026445800639349027,61.8571,0.7578
RB,螺纹钢,2024-12-10,short,2024-12-10,3390.0,2024-12-10 00:45:00,3402.0,exit,-0.0035398230088495575,-5280.0,149.16,149.69,440.0,440.0,-6458.85,44,1491600.0,0.018018018018018018,56.7857,0.7059
RB,螺纹钢,2026-04-03,short,2026-04-03,3144.0,2026-04-03 00:45:00,3124.0,exit,0.006361323155216285,17400.0,273.53,271.79,870.0,870.0,15114.68,87,2735280.0,0.012234385061171926,28.4286,0.7107
I,铁矿石,2015-02-26,long,2015-02-26,480.0,2015-02-26 00:45:00,489.0,exit,0.01875,24300.0,129.6,132.03,1350.0,1350.0,21338.37,27,1296000.0,-0.02636916835699797,9.0,0.7786
I,铁矿石,2015-03-09,long,2015-03-09,447.0,2015-03-09 00:45:00,454.0,exit,0.015659955257270694,16800.0,107.28,108.96,1200.0,1200.0,14183.76,24,1072800.0,-0.019736842105263157,10.1429,0.7047
I,铁矿石,2021-05-06,short,2021-05-06,1121.0,2021-05-06 00:45:00,1184.0,exit,-0.056199821587867974,-31500.0,56.05,59.2,250.0,250.0,-32115.25,5,560500.0,0.029857602204869087,42.4643,0.691
I,铁矿石,2024-12-10,short,2024-12-10,820.0,2024-12-10 00:45:00,817.0,exit,0.003658536585365854,4200.0,114.8,114.38,700.0,700.0,2570.82,14,1148000.0,0.01422387136672851,17.6071,0.7063
HC,热卷,2014-07-17,long,2014-07-17,3300.0,2014-07-17 00:45:00,3328.0,exit,0.008484848484848486,25200.0,297.0,299.52,900.0,900.0,22803.48,90,2970000.0,-0.013157894736842105,27.7143,0.7055
HC,热卷,2017-11-27,long,2017-11-27,3863.0,2017-11-27 00:45:00,3840.0,exit,-0.00595392182241781,-6210.0,104.3,103.68,270.0,270.0,-6957.98,27,1043010.0,-0.030614805520702636,89.6429,0.7103
